FORM,GLOTTOCODE,SoundClasses,SegmentCount,EMOTION
ɐnu,afar1241,anu,3,LEXICON
ənu,afar1241,3nu,3,LEXICON
ɐtu,afar1241,atu,3,LEXICON
ətu,afar1241,3tu,3,LEXICON
nɐnu,afar1241,nanu,4,LEXICON
nənu,afar1241,n3nu,4,LEXICON
inki,afar1241,inki,4,LEXICON
iki,afar1241,iki,3,LEXICON
lɐmɐj,afar1241,lamay,5,LEXICON
ləməj,afar1241,l3m3y,5,LEXICON
sɐχɐdɐtu,afar1241,saXadatu,8,LEXICON
səχədətu,afar1241,s3X3d3tu,8,LEXICON
kulutɐ,afar1241,kuluta,6,LEXICON
kulutə,afar1241,kulut3,6,LEXICON
kutɐ,afar1241,kuta,4,LEXICON
kutə,afar1241,kut3,4,LEXICON
inkɐχa,afar1241,inkaXa,6,LEXICON
ikəχa,afar1241,ik3Xa,5,LEXICON
hɐdɐ,afar1241,hada,4,LEXICON
hədə,afar1241,h3d3,4,LEXICON
ɐjuftɐ,afar1241,ayufta,6,LEXICON
əjuftə,afar1241,3yuft3,6,LEXICON
ɐrɐb,afar1241,arab,4,LEXICON
ərəb,afar1241,3r3b,4,LEXICON
χɐbɐl,afar1241,Xabal,5,LEXICON
χəbəl,afar1241,X3b3l,5,LEXICON
lɐfɐ,afar1241,lafa,4,LEXICON
ləfə,afar1241,l3f3,4,LEXICON
gɐsɐ,afar1241,gasa,4,LEXICON
gəsə,afar1241,g3s3,4,LEXICON
ɐti,afar1241,ati,3,LEXICON
əti,afar1241,3ti,3,LEXICON
iti,afar1241,iti,3,LEXICON
sɐn,afar1241,san,3,LEXICON
sən,afar1241,s3n,3,LEXICON
modinɐ,afar1241,modina,6,LEXICON
modinə,afar1241,modin3,6,LEXICON
ɐrɐbɐ,afar1241,araba,5,LEXICON
ərəbə,afar1241,3r3b3,5,LEXICON
gulub,afar1241,gulub,5,LEXICON
gɐbɐ,afar1241,gaba,4,LEXICON
gəbə,afar1241,g3b3,4,LEXICON
ɐngu,afar1241,angu,4,LEXICON
əgu,afar1241,3gu,3,LEXICON
tiro,afar1241,tiro,4,LEXICON
ɐχub,afar1241,aXub,4,LEXICON
əχub,afar1241,3Xub,4,LEXICON
ɐbul,afar1241,abul,4,LEXICON
əbul,afar1241,3bul,4,LEXICON
obij,afar1241,obiy,4,LEXICON
rɐb,afar1241,rab,3,LEXICON
rəb,afar1241,r3b,3,LEXICON
amat,afar1241,amat,4,LEXICON
ɐro,afar1241,aro,3,LEXICON
əro,afar1241,3ro,3,LEXICON
χutuk,afar1241,Xutuk,5,LEXICON
la,afar1241,la,2,LEXICON
dɐ,afar1241,da,2,LEXICON
də,afar1241,d3,2,LEXICON
girɐ,afar1241,gira,4,LEXICON
girə,afar1241,gir3,4,LEXICON
gitɐ,afar1241,gita,4,LEXICON
gitə,afar1241,git3,4,LEXICON
χɐla,afar1241,Xala,4,LEXICON
χəla,afar1241,X3la,4,LEXICON
bɐr,afar1241,bar,3,LEXICON
bər,afar1241,b3r,3,LEXICON
χusbɐ,afar1241,Xusba,5,LEXICON
χusbə,afar1241,Xusb3,5,LEXICON
migɐχɐ,afar1241,migaXa,6,LEXICON
migəχə,afar1241,mig3X3,6,LEXICON
ɐnu,afar1241,anu,3,LEXICON
ɐtu,afar1241,atu,3,LEXICON
nɐnu,afar1241,nanu,4,LEXICON
ineki,afar1241,ineki,5,LEXICON
nɐmɐjɐ,afar1241,namaya,6,LEXICON
sihɐdɐtu,afar1241,sihadatu,8,LEXICON
kulun,afar1241,kulun,5,LEXICON
kutɐ,afar1241,kuta,4,LEXICON
inkɐχ,afar1241,inkaX,5,LEXICON
χɐcɐ,afar1241,XaTa,4,LEXICON
ɐjuf,afar1241,ayuf,4,LEXICON
gəlbo,afar1241,g3lbo,5,LEXICON
ɐbəlɐ,afar1241,ab3la,5,LEXICON
ləfɐ,afar1241,l3fa,4,LEXICON
gɐse,afar1241,gase,4,LEXICON
ɐti,afar1241,ati,3,LEXICON
iti,afar1241,iti,3,LEXICON
sənɐ,afar1241,s3na,4,LEXICON
modinɐ,afar1241,modina,6,LEXICON
ɐrɐbɐ,afar1241,araba,5,LEXICON
gəbɐ,afar1241,g3ba,4,LEXICON
ɐngu,afar1241,angu,4,LEXICON
tiro,afar1241,tiro,4,LEXICON
oχobe,afar1241,oXobe,5,LEXICON
ubule,afar1241,ubule,5,LEXICON
obe,afar1241,obe,3,LEXICON
rəbe,afar1241,r3be,4,LEXICON
emete,afar1241,emete,5,LEXICON
ɐro,afar1241,aro,3,LEXICON
χutuktɐ,afar1241,Xutukta,7,LEXICON
le,afar1241,le,2,LEXICON
cɐ,afar1241,Ta,2,LEXICON
girɐ,afar1241,gira,4,LEXICON
gitɐ,afar1241,gita,4,LEXICON
χɐle,afar1241,Xale,4,LEXICON
bərɐ,afar1241,b3ra,4,LEXICON
χusibɐ,afar1241,Xusiba,6,LEXICON
migɐχ,afar1241,migaX,5,LEXICON
ɐnu,afar1241,anu,3,LEXICON
ko,afar1241,ko,2,LEXICON
nɐnu,afar1241,nanu,4,LEXICON
ɐ,afar1241,a,1,LEXICON
tɐ,afar1241,ta,2,LEXICON
ɐmɐ,afar1241,ama,3,LEXICON
tɐmɐ,afar1241,tama,4,LEXICON
ijɐ,afar1241,iya,3,LEXICON
mijɐ,afar1241,miya,4,LEXICON
mɐχɐ,afar1241,maXa,4,LEXICON
mɐ,afar1241,ma,2,LEXICON
we,afar1241,we,2,LEXICON
kulli,afar1241,kulli,5,LEXICON
kullim,afar1241,kullim,6,LEXICON
kullimi,afar1241,kullimi,7,LEXICON
mɐngih,afar1241,mangih,6,LEXICON
inkittu,afar1241,inkittu,7,LEXICON
nɐmɐj,afar1241,namay,5,LEXICON
kɐχɐ,afar1241,kaXa,4,LEXICON
χeri,afar1241,Xeri,4,LEXICON
χunχɐ,afar1241,XunXa,5,LEXICON
kuχulle,afar1241,kuXulle,7,LEXICON
sɐjkɐmɐt,afar1241,saykamat,8,LEXICON
sɐjkɐmɐtɐ,afar1241,saykamata,9,LEXICON
sɐjmɐkti,afar1241,saymakti,8,LEXICON
num,afar1241,num,3,LEXICON
sehɐdɐ,afar1241,sehada,6,LEXICON
kulum,afar1241,kulum,5,LEXICON
hɐdɐjtu,afar1241,hadaytu,7,LEXICON
kimbiro,afar1241,kimbiro,7,LEXICON
kutɐ,afar1241,kuta,4,LEXICON
inkɐχ,afar1241,inkaX,5,LEXICON
χɐdɐ,afar1241,Xada,4,LEXICON
dɐriju,afar1241,dariyu,6,LEXICON
ɐjuftɐ,afar1241,ayufta,6,LEXICON
rɐmɐd,afar1241,ramad,5,LEXICON
rɐmɐdɐ,afar1241,ramada,6,LEXICON
rigid,afar1241,rigid,5,LEXICON
rigidi,afar1241,rigidi,6,LEXICON
χɐllɐ,afar1241,Xalla,5,LEXICON
χingir,afar1241,Xingir,6,LEXICON
χingiri,afar1241,Xingiri,7,LEXICON
χingiro,afar1241,Xingiro,7,LEXICON
ɐrɐb,afar1241,arab,4,LEXICON
ɐrɐbɐ,afar1241,araba,5,LEXICON
χɐngɐrijtɐ,afar1241,Xangariyta,10,LEXICON
χɐdo,afar1241,Xado,4,LEXICON
χɐbɐl,afar1241,Xabal,5,LEXICON
χɐbɐlɐ,afar1241,Xabala,6,LEXICON
lɐfɐ,afar1241,lafa,4,LEXICON
sɐhɐm,afar1241,saham,5,LEXICON
sɐhɐmɐ,afar1241,sahama,6,LEXICON
nɐli,afar1241,nali,4,LEXICON
gɐjsɐ,afar1241,gaysa,5,LEXICON
wilɐχɐ,afar1241,wilaXa,6,LEXICON
bɐɐl,afar1241,baal,4,LEXICON
χɐgor,afar1241,Xagor,5,LEXICON
mojɐ,afar1241,moya,4,LEXICON
ɐjti,afar1241,ayti,4,LEXICON
inti,afar1241,inti,4,LEXICON
sɐn,afar1241,san,3,LEXICON
ɐf,afar1241,af,2,LEXICON
ɐfɐ,afar1241,afa,3,LEXICON
kɐlɐssino,afar1241,kalassino,9,LEXICON
ɐf,afar1241,af,2,LEXICON
ɐfɐ,afar1241,afa,3,LEXICON
kɐlɐm,afar1241,kalam,5,LEXICON
kɐlɐmɐ,afar1241,kalama,6,LEXICON
liχo,afar1241,liXo,4,LEXICON
dɐdɐb,afar1241,dadab,5,LEXICON
gulub,afar1241,gulub,5,LEXICON
gulubu,afar1241,gulubu,6,LEXICON
gɐbɐ,afar1241,gaba,4,LEXICON
gɐrbɐ,afar1241,garba,5,LEXICON
filɐ,afar1241,fila,4,LEXICON
ɐŋu,afar1241,aNu,3,LEXICON
kɐlbi,afar1241,kalbi,5,LEXICON
lubbi,afar1241,lubbi,5,LEXICON
sorkoχobbɐdɐ,afar1241,sorkoXobbada,12,LEXICON
kɐlbɐ,afar1241,kalba,5,LEXICON
kibdɐr,afar1241,kibdar,6,LEXICON
kibdɐrɐ,afar1241,kibdara,7,LEXICON
tiro,afar1241,tiro,4,LEXICON
oχobe,afar1241,oXobe,5,LEXICON
dɐge,afar1241,dage,4,LEXICON
okme,afar1241,okme,4,LEXICON
ɐre,afar1241,are,3,LEXICON
uble,afar1241,uble,4,LEXICON
obe,afar1241,obe,3,LEXICON
eχege,afar1241,eXege,5,LEXICON
hɐmbɐddɐedχe,afar1241,hambaddaedXe,12,LEXICON
rɐbe,afar1241,rabe,4,LEXICON
χide,afar1241,Xide,4,LEXICON
iggife,afar1241,iggife,6,LEXICON
girise,afar1241,girise,6,LEXICON
hɐde,afar1241,hade,4,LEXICON
geχe,afar1241,geXe,4,LEXICON
dikkɐedχe,afar1241,dikkaedXe,9,LEXICON
emete,afar1241,emete,5,LEXICON
