REGION,LANGUAGE,GLOTTOCODE,EMOTION,FORM,INITIAL_FORM,SoundClasses,SegmentCount
Africa,Afar,afar1241,DISGUST,ħés,ħés,Xes,3
Africa,Joola kwaatay,band1340,DISGUST,hiiɲə,hiiɲə,hii53,5
Africa,Basa,basa1282,DISGUST,wúù,wúù,wuu,3
Africa,Kanuri,cent2050,DISGUST,jâjóò,jâjóò,yayoo,5
Africa,Dioula (Kong),dyul1238,DISGUST,píì,píì,pii,3
Africa,éton,eton1253,DISGUST,àkà,àkà,aka,3
Africa,éton,eton1253,DISGUST,sɔ̀ŋ,sɔ̀ŋ,soN,3
Africa,Gambian Wolof,gamb1252,DISGUST,cim,cim,Tim,3
Africa,Gambian Wolof,gamb1252,DISGUST,cɛm,cɛm,TEm,3
Africa,Gambian Wolof,gamb1252,DISGUST,cam,cam,Tam,3
Africa,Perge Tegu,jams1239,DISGUST,kárì,kárì,kari,4
Africa,Peul (Massina),maas1239,DISGUST,duʃ,duʃ,duS,3
Africa,Peul (Massina),maas1239,DISGUST,puh,puh,puh,3
Africa,Peul (Massina),maas1239,DISGUST,tu,tu,tu,2
Africa,Maʼdi,madi1260,DISGUST,ʔà,ʔà,7a,2
Africa,Mende,mend1266,DISGUST,àɟɔ̀,àɟɔ̀,aTo,3
Africa,Mende,mend1266,DISGUST,àpɔ́lɛ́,àpɔ́lɛ́,apolE,5
Africa,Dagaare,nort2780,DISGUST,àkàí,àkàí,akai,4
Africa,Wolof,nucl1347,DISGUST,cam,cam,Tam,3
Africa,Wolof,nucl1347,DISGUST,cim,cim,Tim,3
Africa,Wolof,nucl1347,DISGUST,uf,uf,uf,2
Africa,Orma Oromo,orma1241,DISGUST,buʃaj,buʃaj,buSay,5
Africa,Orma Oromo,orma1241,DISGUST,ʃaa,ʃaa,Saa,3
Africa,Orma Oromo,orma1241,DISGUST,ʃaj,ʃaj,Say,3
Africa,Chamba,samb1311,DISGUST,káàj,káàj,kaay,4
Africa,Sereer,sere1260,DISGUST,ca,ca,Ta,2
Africa,Sereer,sere1260,DISGUST,tuuk,tuuk,tuuk,4
Africa,Grebo,sout2826,DISGUST,sȁsȁ,sȁsȁ,sasa,4
Africa,Tẹ̀ẹ̀,teee1242,DISGUST,hm̀,hm̀,hm,2
Africa,Yorno-So,toro1252,DISGUST,kárí,kárí,kari,4
Africa,Yoruba,yoru1245,DISGUST,ʃíɔ̀,ʃíɔ̀,Sio,3
Africa,Afar,afar1241,JOY,únkaʕ,únkaʕ,unkaX,5
Africa,Balante de Jabada,bala1301,JOY,pam,pam,pam,3
Africa,Bambara,bamb1269,JOY,dḛ́dḛ́dḛ́,dḛ́dḛ́dḛ́,dedede,6
Africa,Bambara,bamb1269,JOY,fárífárí,fárífárí,farifari,8
Africa,Bambara,bamb1269,JOY,kḭ́kà̰kḭ́,kḭ́kà̰kḭ́,kikaki,6
Africa,Bambara,bamb1269,JOY,lájílá,lájílá,layila,6
Africa,Bambara,bamb1269,JOY,sígéjí,sígéjí,sigeyi,6
Africa,Bambara,bamb1269,JOY,tàáré,tàáré,taare,5
Africa,Bambara,bamb1269,JOY,tàrétàré,tàrétàré,taretare,8
Africa,Bambara,bamb1269,JOY,wátáráwá,wátáráwá,watarawa,8
Africa,Basa,basa1282,JOY,tàpíʃànáá,tàpíʃànáá,tapiSanaa,9
Africa,Bokobaru,boko1267,JOY,ajuwi,ajuwi,ayuwi,5
Africa,Boore,buam1238,JOY,fóō fìràā,fóō fìràā,foofiraa,8
