FORM,GLOTTOCODE,SoundClasses,SegmentCount,EMOTION
kurina,teop1238,kurina,6,LEXICON
keruka,teop1238,keruka,6,LEXICON
matau,teop1238,matau,5,LEXICON
moːna,teop1238,mona,4,LEXICON
mona,teop1238,mona,4,LEXICON
pita,teop1238,pita,4,LEXICON
hanana,teop1238,hanana,6,LEXICON
noma,teop1238,noma,4,LEXICON
d͡ʒataviri,teop1238,jataviri,8,LEXICON
ruvu,teop1238,ruvu,4,LEXICON
paru,teop1238,paru,4,LEXICON
avu,teop1238,avu,3,LEXICON
kapa,teop1238,kapa,4,LEXICON
tobnuna,teop1238,tobnuna,7,LEXICON
tonuna,teop1238,tonuna,6,LEXICON
koma,teop1238,koma,4,LEXICON
sino,teop1238,sino,4,LEXICON
hiapa,teop1238,hiapa,5,LEXICON
ate,teop1238,ate,3,LEXICON
huhu,teop1238,huhu,4,LEXICON
koko,teop1238,koko,4,LEXICON
koːkoː,teop1238,koko,4,LEXICON
varavara,teop1238,varavara,8,LEXICON
kona,teop1238,kona,4,LEXICON
konakona,teop1238,konakona,8,LEXICON
hata,teop1238,hata,4,LEXICON
hatanata,teop1238,hatanata,8,LEXICON
opehe,teop1238,opehe,5,LEXICON
naːbu,teop1238,nabu,4,LEXICON
nabu,teop1238,nabu,4,LEXICON
revasin,teop1238,revasin,7,LEXICON
kahoː,teop1238,kaho,4,LEXICON
kaho,teop1238,kaho,4,LEXICON
gogona,teop1238,gogona,6,LEXICON
gogoːna,teop1238,gogona,6,LEXICON
vunuː,teop1238,vunu,4,LEXICON
vunu,teop1238,vunu,4,LEXICON
ihuna,teop1238,ihuna,5,LEXICON
vavuriha,teop1238,vavuriha,8,LEXICON
hirupa,teop1238,hirupa,6,LEXICON
avuhu,teop1238,avuhu,5,LEXICON
rivona,teop1238,rivona,6,LEXICON
nihi,teop1238,nihi,4,LEXICON
meana,teop1238,meana,5,LEXICON
haesi,teop1238,haesi,5,LEXICON
oga,teop1238,oga,3,LEXICON
buraː,teop1238,bura,4,LEXICON
bura,teop1238,bura,4,LEXICON
dovi,teop1238,dovi,4,LEXICON
ani,teop1238,ani,3,LEXICON
tam,teop1238,tam,3,LEXICON
naha,teop1238,naha,4,LEXICON
nahu,teop1238,nahu,4,LEXICON
wagonono,teop1238,wagonono,8,LEXICON
tabaani,teop1238,tabaani,7,LEXICON
gaga,teop1238,gaga,4,LEXICON
koto,teop1238,koto,4,LEXICON
hirupaʔ,teop1238,hirupa7,7,LEXICON
tainana,teop1238,tainana,7,LEXICON
baitono,teop1238,baitono,7,LEXICON
matana,teop1238,matana,6,LEXICON
tara,teop1238,tara,4,LEXICON
momoava,teop1238,momoava,7,LEXICON
goroho,teop1238,goroho,6,LEXICON
butoto,teop1238,butoto,6,LEXICON
tatariopo,teop1238,tatariopo,9,LEXICON
hio,teop1238,hio,3,LEXICON
sun,teop1238,sun,3,LEXICON
aba,teop1238,aba,3,LEXICON
otei,teop1238,otei,4,LEXICON
abana,teop1238,abana,5,LEXICON
moːn,teop1238,mon,3,LEXICON
mon,teop1238,mon,3,LEXICON
baiko,teop1238,baiko,5,LEXICON
mutanamoːn,teop1238,mutanamon,9,LEXICON
mutanaotei,teop1238,mutanaotei,10,LEXICON
sinana,teop1238,sinana,6,LEXICON
ia,teop1238,ia,2,LEXICON
tamana,teop1238,tamana,6,LEXICON
teteː,teop1238,tete,4,LEXICON
teːteː,teop1238,tete,4,LEXICON
inu,teop1238,inu,3,LEXICON
inoatovo,teop1238,inoatovo,8,LEXICON
piha,teop1238,piha,4,LEXICON
nei,teop1238,nei,3,LEXICON
hena,teop1238,hena,4,LEXICON
sue,teop1238,sue,3,LEXICON
kanono,teop1238,kanono,6,LEXICON
kara,teop1238,kara,4,LEXICON
urisi,teop1238,urisi,5,LEXICON
vakisi,teop1238,vakisi,6,LEXICON
kunakuna,teop1238,kunakuna,8,LEXICON
niri,teop1238,niri,4,LEXICON
vahipi,teop1238,vahipi,6,LEXICON
hiːpi,teop1238,hipi,4,LEXICON
vavanavana,teop1238,vavanavana,10,LEXICON
tahi,teop1238,tahi,4,LEXICON
navuhu,teop1238,navuhu,6,LEXICON
kaveru,teop1238,kaveru,6,LEXICON
asun,teop1238,asun,4,LEXICON
mate,teop1238,mate,4,LEXICON
toːtoː,teop1238,toto,4,LEXICON
